id,general_team,general_city,general_team_name,full_name,is_active,draft_team,draft_city,draft_team_name,organization_type,seniority,position,from_year,to_year,g-league,greatest_75_flag,height_definitivo,weight,hub,num_equipos
1630188,1610612754,Indiana,Pacers,Jalen Smith,Active,1610612756.0,Phoenix,Suns,College/University,3.0,Forward-Center,2020.0,2023.0,Yes,No,205.74,97.5,USA,2
1628370,1610612758,Sacramento,Kings,Malik Monk,Active,1610612766.0,Charlotte,Hornets,College/University,6.0,Guard,2017.0,2023.0,Yes,No,190.5,90.7,USA,3
1629659,1610612762,Utah,Jazz,Talen Horton-Tucker,Active,1610612753.0,Orlando,Magic,College/University,4.0,Guard,2019.0,2023.0,Yes,No,193.04,106.1,USA,2
1629650,1610612746,Los Angeles,Clippers,Moses Brown,Active,0.0,Undrafted,Undrafted,Unknown,4.0,Center,2019.0,2022.0,Yes,No,218.44,111.1,USA,5
1631216,1610612753,Orlando,Magic,Caleb Houstan,Active,1610612753.0,Orlando,Magic,College/University,1.0,Guard,2022.0,2023.0,Yes,No,203.2,93.0,North America,1
1631132,1610612761,Toronto,Raptors,Christian Koloko,Active,1610612761.0,Toronto,Raptors,College/University,1.0,Center,2022.0,2023.0,Yes,No,213.36,104.3,Africa,1
1629060,1610612747,Los Angeles,Lakers,Rui Hachimura,Active,1610612764.0,Washington,Wizards,College/University,4.0,Forward,2019.0,2023.0,No,No,203.2,104.3,Asia,2
1630639,1610612742,Dallas,Mavericks,A.J. Lawson,Active,0.0,Undrafted,Undrafted,Unknown,1.0,Guard,2022.0,2023.0,Yes,No,198.12,81.2,North America,2
1629644,1610612758,Sacramento,Kings,KZ Okpala,Active,1610612756.0,Phoenix,Suns,College/University,4.0,Forward-Guard,2019.0,2022.0,Yes,No,203.2,97.5,USA,3
202681,1610612742,Dallas,Mavericks,Kyrie Irving,Active,1610612739.0,Cleveland,Cavaliers,College/University,12.0,Guard,2011.0,2023.0,No,No,187.96,88.5,Oceania,4
202693,1610612742,Dallas,Mavericks,Markieff Morris,Active,1610612756.0,Phoenix,Suns,College/University,12.0,Forward,2011.0,2023.0,No,No,205.74,111.1,USA,7
1627736,1610612762,Utah,Jazz,Malik Beasley,Active,1610612743.0,Denver,Nuggets,College/University,7.0,Guard,2016.0,2023.0,Yes,No,193.04,84.8,USA,3
1629638,1610612762,Utah,Jazz,Nickeil Alexander-Walker,Active,1610612751.0,Brooklyn,Nets,College/University,4.0,Guard,2019.0,2023.0,Yes,No,195.58,93.0,North America,2
1628969,1610612751,Brooklyn,Nets,Mikal Bridges,Active,1610612755.0,Philadelphia,76ers,College/University,5.0,Guard-Forward,2018.0,2023.0,No,No,198.12,94.8,USA,1
1629661,1610612751,Brooklyn,Nets,Cameron Johnson,Active,1610612750.0,Minnesota,Timberwolves,College/University,4.0,Forward,2019.0,2023.0,No,No,203.2,95.3,USA,2
1626163,1610612737,Atlanta,Hawks,Frank Kaminsky,Active,1610612766.0,Charlotte,Hornets,College/University,8.0,Forward-Center,2015.0,2023.0,No,No,213.36,108.9,USA,4
